,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
384,1,2,2,2,2,4,0
385,0,1,2,2,2,3,0
386,1,2,3,4,5,5,0
387,0,1,1,1,1,2,0
388,1,2,3,4,4,4,0
389,0,1,3,3,2,3,0
390,0,0,1,2,1,1,0
391,1,1,1,3,2,4,0
392,0,1,1,2,3,2,0
393,1,1,2,2,2,3,0
394,1,1,1,2,2,3,0
395,0,1,2,3,3,3,0
396,1,2,3,4,4,6,0
397,1,0,0,1,3,3,0
398,0,1,1,1,2,3,0
399,1,2,2,2,3,4,0
400,1,1,2,1,3,4,0
401,0,1,1,2,2,4,0
402,1,2,2,3,2,4,0
403,1,2,3,4,5,6,0
404,0,0,1,2,1,1,0
405,0,0,1,1,1,2,0
406,1,1,2,3,4,3,0
407,0,1,1,1,1,1,0
408,0,0,0,0,1,0,0
409,1,2,1,2,4,4,0
410,0,1,0,1,1,3,0
411,0,1,2,2,3,4,0
412,1,1,2,3,3,4,0
413,0,0,0,0,0,0,0
414,0,0,1,2,2,2,0
415,0,0,0,0,0,0,0
416,1,1,3,4,3,4,0
417,0,0,0,0,0,0,0
418,1,1,2,1,1,2,0
419,0,1,1,1,1,1,0
420,0,0,0,0,1,0,0
421,1,2,2,3,3,3,0
422,1,1,1,3,1,2,0
423,1,0,1,2,1,3,0
424,1,1,1,1,1,1,0
425,0,1,1,2,1,2,0
426,1,2,3,1,2,3,0
427,0,1,0,2,3,3,0
428,0,1,1,2,1,3,0
429,0,0,0,1,1,2,0
430,1,0,1,0,2,1,0
431,0,1,2,1,0,1,0
432,0,1,1,2,2,3,0
433,0,1,1,3,2,4,0
434,0,0,1,0,0,1,0
435,1,2,3,2,2,4,0
436,1,1,3,2,4,3,0
437,0,1,2,2,2,2,0
438,0,1,1,1,1,3,0
439,0,1,1,2,3,3,0
440,1,1,1,1,2,2,0
441,1,1,1,1,3,4,0
442,0,1,1,1,3,3,0
443,1,1,2,3,4,3,0
444,0,0,0,2,2,3,0
445,1,1,2,2,2,3,0
446,0,1,2,1,2,3,0
447,0,2,2,3,2,5,0
448,1,2,2,4,5,6,0
449,0,0,1,0,2,2,0
450,0,0,1,1,1,1,0
451,0,1,2,3,2,4,0
452,0,1,0,1,1,0,0
453,0,1,1,0,1,1,0
454,1,2,3,4,5,5,0
455,1,2,2,2,4,3,0
456,0,0,0,1,0,3,0
457,0,1,3,1,3,3,0
458,0,0,1,0,1,2,0
459,0,1,0,1,1,2,0
460,0,1,2,1,2,3,0
461,0,0,1,1,2,2,0
462,1,1,2,1,2,1,0
463,1,1,1,3,2,3,0
464,1,2,2,3,4,4,0
465,0,1,2,2,3,4,0
466,1,2,3,3,5,6,0
467,1,1,0,1,2,3,0
468,1,1,2,2,2,4,0
469,0,0,0,1,1,2,0
470,0,1,3,2,3,3,0
471,1,2,3,4,4,6,0
472,0,0,1,0,3,2,0
473,1,1,3,2,3,5,0
